caseidx,i11,caseidX,regionX,districtX,pov_likelihood,motherTogether,noReligion,female,spouseTogether,ageMarried,needToCOVID,unableToCOVID,unableCall7days,unableTrans7days,ct1a0,ct1b0,ct2a0,ct2b0,totExp7days,threatenPartner,hitPartner,logk10,severe_distress,tiredCOVID,awareofCOVID0,trustgovtCOVIDNos0,m110,m120,m130,m140,bd10,bd20,bd30,female0,akan0,married0,ageYrs0,jhs0,hhsize0,selfEmploy0,informal0,incomegrp0,self_hseWork0,Trt
23414,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",23414,Greater Accra,304,1.1,0,0,0,0,27,1,1,0,0,50,30,4,20,550,1,1,2.8903718,0,1,1,4,2,2,1,1,,,,0,1,1,42,1,4,1,1,4,0,1
23503,"Food insecurity[i.e., lack of consistent access to enough food going forward]",23503,Greater Accra,304,1.1,0,0,0,1,25,0,1,1,1,56,10,0,0,830,1,1,2.5649493,0,1,1,4,1,3,4,2,,,,0,0,1,64,1,6,0,0,1,0,0
23509,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",23509,Greater Accra,304,.30000001,0,0,1,0,23,0,0,0,0,12,4,3,11,300,1,1,2.7725887,0,0,1,2,1,5,5,3,,,,1,0,0,53,1,7,1,1,2,0,0
23702,"Food insecurity[i.e., lack of consistent access to enough food going forward]",23702,Greater Accra,304,.80000001,0,0,0,1,24,1,0,1,1,5,3,0,0,0,1,1,3.2580965,0,1,1,1,5,2,1,1,,,,0,0,1,28,1,5,1,1,1,0,1
23708,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",23708,Greater Accra,304,.30000001,0,0,0,1,24,1,1,1,1,25,10,0,0,950,1,1,3.2188759,0,1,1,3,2,3,2,2,,,,0,1,1,37,1,5,1,1,2,0,2
23909,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",23909,Greater Accra,304,11.7,0,0,0,1,36,0,0,0,0,0,0,0,0,182,1,1,2.4849067,0,1,1,4,1,5,3,4,,,,0,1,1,68,1,5,0,0,1,0,1
24005,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24005,Greater Accra,304,.30000001,0,0,0,1,,1,0,0,0,0,10,0,0,100,1,1,2.4849067,0,0,1,4,1,4,4,4,,,,1,1,1,50,0,3,1,1,1,1,0
24012,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24012,Greater Accra,304,1.1,0,0,1,0,18,1,1,1,1,25,50,20,10,950,1,1,2.7725887,0,1,1,3,2,1,2,1,,,,1,1,1,,1,5,1,1,2,0,2
24408,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24408,Greater Accra,304,1.1,0,0,0,1,28,1,0,0,0,27,10,5,45,355,1,1,2.4849067,0,1,1,4,1,4,4,2,,,,0,1,1,37,1,6,1,1,2,0,2
24409,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24409,Greater Accra,304,4.3000002,0,0,0,1,37,1,1,1,1,10,5,0,0,120,1,1,2.8903718,0,0,1,4,2,1,3,3,,,,0,1,1,47,1,8,0,0,1,0,2
24410,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24410,Greater Accra,304,1.1,0,0,0,1,19,1,0,0,0,20,5,0,0,300,1,1,2.5649493,0,0,1,3,1,4,4,3,,,,0,1,1,32,1,5,1,1,2,0,0
24413,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24413,Greater Accra,304,1.1,0,0,0,1,30,1,1,1,1,30,20,0,0,1320,1,1,3.2580965,0,0,1,4,2,2,2,3,,,,0,1,1,52,1,5,1,1,2,0,0
24507,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24507,Greater Accra,304,4.3000002,1,0,0,0,34,1,1,1,1,20,10,0,0,700,1,1,3.0910425,0,1,1,3,1,3,4,4,,,,0,0,1,34,1,4,1,1,2,0,1
24601,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24601,Greater Accra,304,4.3000002,0,0,0,1,26,0,0,0,0,0,0,0,0,90,1,1,2.3025851,0,0,1,4,1,1,1,1,,,,0,0,1,74,1,6,1,1,1,0,0
24602,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",24602,Greater Accra,304,7.1999998,0,0,0,1,35,0,0,0,0,35,36,0,0,1500,1,1,3.0910425,0,0,1,4,1,5,5,1,,,,0,0,1,49,0,7,1,1,1,0,2
24612,Other specify,24612,Greater Accra,304,2.2,0,1,0,1,30,0,0,0,0,30,10,0,0,600,1,1,2.4849067,0,0,1,4,1,2,2,2,,,,0,0,1,54,1,4,0,0,3,0,1
24714,"Food insecurity[i.e., lack of consistent access to enough food going forward]",24714,Greater Accra,304,0,0,0,0,1,24,1,1,1,1,10,2,1,2,0,1,1,3.3672957,0,1,1,2,4,2,1,1,,,,0,1,1,32,1,2,1,1,1,0,1
24801,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",24801,Greater Accra,304,2.2,0,0,0,1,32,1,0,0,0,25,20,0,0,330,1,1,2.4849067,0,1,1,4,1,5,5,3,,,,0,1,1,40,1,5,0,0,3,0,2
24907,,24907,Greater Accra,304,0,0,0,0,1,24,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,0,0,,,0
24909,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",24909,Greater Accra,304,.80000001,0,0,0,1,18,1,0,0,0,25,40,1,5,315,1,1,2.3978953,0,1,1,4,1,5,3,2,,,,0,1,1,48,1,6,0,1,2,0,0
25207,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25207,Greater Accra,304,1.1,0,0,0,1,30,1,1,1,1,14,5,0,0,149,1,1,2.6390574,0,1,1,4,1,3,1,1,,,,0,1,1,55,1,8,1,1,1,0,0
25215,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25215,Greater Accra,304,11.7,0,0,0,1,26,1,1,0,0,7,10,0,0,250,1,1,2.3978953,0,1,1,4,1,4,4,2,,,,0,1,1,62,1,8,1,1,1,0,1
25304,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25304,Greater Accra,304,.80000001,0,1,0,1,26,1,1,0,0,10,10,0,0,105,1,1,2.9957323,0,0,1,4,2,4,3,2,,,,0,1,0,27,1,1,1,1,1,1,1
25402,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25402,Greater Accra,304,2.2,0,0,0,1,30,0,0,0,0,2,5,0,0,350,1,1,3.1354942,0,0,1,3,1,5,3,2,,,,0,1,0,40,1,1,1,1,1,1,0
25414,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25414,Greater Accra,304,1.1,0,0,0,1,28,1,1,0,0,35,10,20,35,1730,1,1,2.5649493,0,1,1,4,1,4,3,2,,,,0,1,1,47,1,6,1,1,2,1,2
25501,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25501,Greater Accra,304,11.7,0,0,0,1,20,1,1,0,0,15,10,0,0,195,1,1,2.3025851,0,1,1,4,1,1,5,2,,,,0,1,1,48,0,6,1,1,1,0,0
25511,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",25511,Greater Accra,304,.30000001,0,0,0,1,18,0,1,1,1,28,5,0,0,640,1,1,2.5649493,0,0,1,4,1,3,2,2,,,,0,0,1,51,1,5,1,1,1,0,1
25515,Other specify,25515,Greater Accra,304,.80000001,0,0,0,1,28,0,0,1,1,4,3,0,0,180,1,1,2.8332133,0,0,1,4,2,3,3,3,,,,0,0,1,59,1,5,1,1,1,0,2
25603,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",25603,Greater Accra,304,.30000001,0,0,0,1,26,1,0,1,0,8,5,0,0,450,1,1,2.5649493,0,0,1,4,1,4,4,3,,,,0,1,1,30,1,3,1,1,1,0,1
25701,,25701,Greater Accra,305,7.1999998,0,0,0,1,25,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,,0,0,,,0
25915,"Food insecurity[i.e., lack of consistent access to enough food going forward]",25915,Greater Accra,306,1.1,0,0,0,1,31,1,1,0,0,50,30,5,25,485,1,1,2.6390574,0,1,1,4,2,3,4,4,,,,0,0,1,39,1,5,0,0,2,0,1
26006,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26006,Greater Accra,306,4.3000002,0,0,0,1,27,1,1,0,0,15,20,1,5,207,1,1,3.0445225,0,1,1,4,2,2,4,4,,,,0,0,1,32,1,4,1,1,2,0,0
26007,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26007,Greater Accra,306,2.2,0,0,0,1,29,1,0,0,0,3,5,0,0,95,1,1,2.3025851,0,1,1,4,1,4,4,2,,,,0,1,1,60,0,6,1,1,2,0,2
26113,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26113,Greater Accra,306,4.3000002,0,1,1,0,18,1,1,1,1,18,10,0,0,430,1,1,3.3322046,0,1,1,4,2,2,3,2,,,,1,0,0,45,0,8,1,1,1,1,1
26207,Other specify,26207,Greater Accra,306,.80000001,0,0,0,1,28,0,0,0,0,20,10,0,0,0,1,1,2.8332133,0,0,1,2,1,5,5,5,,,,0,1,1,37,1,6,1,1,2,0,0
26208,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26208,Greater Accra,306,4.3000002,0,0,0,1,33,1,0,0,0,10,10,0,0,163,1,1,2.3025851,0,1,1,4,1,3,3,2,,,,0,1,1,43,1,4,1,1,1,0,2
26211,Other specify,26211,Greater Accra,306,0,0,0,0,1,31,0,0,0,0,20,20,0,0,300,1,1,2.6390574,0,0,1,4,1,5,3,1,,,,0,0,1,35,1,5,1,0,2,0,2
26307,"Food insecurity[i.e., lack of consistent access to enough food going forward]",26307,Greater Accra,306,0,0,0,1,0,27,1,1,1,1,0,0,0,0,0,1,1,3.5553482,1,1,1,2,3,4,1,2,,,,0,0,1,60,0,5,1,1,1,1,2
26309,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26309,Greater Accra,306,.80000001,0,0,0,1,27,1,1,0,1,2,5,0,0,223,1,1,3.583519,1,0,1,2,3,3,2,2,,,,0,0,1,37,1,4,1,1,1,0,1
26313,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26313,Greater Accra,306,7.1999998,0,0,0,1,27,0,0,1,1,70,40,4,50,361,5,5,2.3025851,0,1,1,2,1,1,1,3,,,,0,0,1,69,1,11,1,1,2,0,1
26403,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26403,Greater Accra,306,11.7,0,1,0,1,35,1,1,1,1,7,10,0,15,310,1,1,3.2958369,0,1,1,3,1,4,3,1,,,,0,0,1,53,0,5,1,1,1,0,0
26405,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",26405,Greater Accra,306,.80000001,0,0,0,1,21,1,1,0,0,30,20,0,0,325,1,1,2.3025851,0,1,1,4,1,5,5,4,,,,0,0,1,44,1,6,1,1,4,0,2
26410,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26410,Greater Accra,306,7.1999998,0,0,0,1,36,1,1,0,0,7,10,0,0,68,1,1,2.3978953,0,0,1,4,1,3,4,2,,,,0,1,1,46,1,5,1,1,2,0,0
26411,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26411,Greater Accra,306,2.2,0,0,0,1,28,0,0,1,0,2,5,0,0,20,1,1,2.6390574,0,1,1,4,1,3,1,1,,,,0,1,1,33,1,4,0,0,1,0,0
26414,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",26414,Greater Accra,306,.80000001,0,0,0,1,30,1,0,1,0,70,10,0,0,335,1,1,2.5649493,0,0,1,4,1,4,3,3,,,,0,1,1,38,1,6,0,0,5,0,1
26610,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26610,Greater Accra,307,4.3000002,0,0,0,1,46,1,0,0,0,7,20,0,0,410,1,1,2.3025851,0,1,1,4,1,4,5,3,,,,0,1,1,52,1,4,0,1,1,0,1
26706,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26706,Greater Accra,307,4.3000002,0,0,0,1,26,1,1,1,1,3,5,0,0,340,1,1,3.0445225,0,0,1,3,1,1,3,2,,,,1,0,1,45,1,5,1,1,1,0,2
26707,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26707,Greater Accra,307,7.1999998,0,0,0,1,25,1,1,1,1,10,10,0,0,428,2,1,2.7080503,0,1,1,3,1,3,2,2,,,,0,0,1,55,1,5,1,1,1,0,0
26711,"Water insecurity[i.e., indequate water sources and inability to pay water bills going forward]",26711,Greater Accra,307,11.7,0,0,0,1,20,1,0,1,1,5,10,1,2,161,1,1,2.7725887,0,1,1,1,3,1,1,1,,,,0,0,1,52,1,6,0,0,3,0,0
26908,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26908,Greater Accra,307,7.1999998,0,0,0,1,53,1,1,0,0,15,4,0,0,120,1,1,2.3025851,0,1,1,4,1,3,3,1,,,,0,1,1,63,1,4,1,1,1,0,1
26910,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",26910,Greater Accra,307,4.3000002,0,0,0,1,36,1,1,1,1,50,10,0,0,360,1,1,2.3978953,0,1,1,4,2,3,2,2,,,,0,0,1,32,1,4,1,1,2,0,2
27014,"Water insecurity[i.e., indequate water sources and inability to pay water bills going forward]",27014,Greater Accra,308,4.3000002,0,0,0,1,38,1,1,0,0,25,40,0,0,600,1,1,2.9444389,0,1,1,4,1,4,4,4,,,,0,0,1,45,1,4,1,0,4,0,1
27103,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",27103,Greater Accra,308,4.3000002,0,0,0,1,25,1,0,0,0,5,10,0,0,90,1,1,2.3025851,0,1,1,4,1,5,5,4,,,,0,0,1,40,1,6,1,1,3,0,2
27107,Other specify,27107,Greater Accra,308,.80000001,0,0,0,1,30,1,1,0,0,10,10,0,0,1210,1,1,2.3025851,0,0,1,4,1,5,4,4,,,,0,1,1,61,1,6,1,1,2,0,0
27113,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",27113,Greater Accra,308,0,0,0,0,1,21,0,0,0,0,7,10,0,0,110,1,1,2.3025851,0,0,1,3,1,1,1,1,,,,0,0,1,45,1,4,1,1,3,0,1
27203,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",27203,Greater Accra,308,11.7,0,0,0,1,32,1,1,0,1,20,30,5,5,700,1,1,3.0910425,0,1,1,4,2,2,2,2,,,,0,1,1,,1,9,1,1,1,0,2
27408,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",27408,Greater Accra,308,1.1,0,0,1,0,19,1,1,0,0,5,2,0,0,115,1,1,2.3025851,0,1,0,4,1,4,4,2,,,,0,0,1,54,1,4,1,1,1,1,0
27507,"Food insecurity[i.e., lack of consistent access to enough food going forward]",27507,Greater Accra,308,63.799999,0,0,0,1,26,1,1,1,1,5,10,0,0,950,1,1,2.9957323,0,1,1,3,1,2,3,2,,,,0,1,1,55,1,8,0,1,1,0,1
27607,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",27607,Greater Accra,308,1.1,0,0,0,1,37,0,0,0,0,30,100,10,10,3650,1,1,3.7376697,1,1,1,4,5,5,1,1,,,,0,0,1,46,1,5,1,1,1,0,0
27611,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",27611,Greater Accra,308,1.1,0,0,0,1,27,0,0,0,0,40,40,0,0,250,1,1,2.3978953,0,0,1,4,1,1,1,1,,,,0,0,1,83,1,4,0,1,1,0,2
28007,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28007,Greater Accra,311,2.2,0,0,0,1,35,1,0,0,0,6,15,0,0,80,1,1,2.5649493,0,0,1,4,1,4,3,1,,,,0,1,0,49,1,3,0,1,1,0,1
28012,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28012,Greater Accra,311,19.6,0,0,1,0,25,1,1,1,1,10,5,5,5,400,1,1,2.3025851,0,0,1,4,1,5,5,5,,,,1,0,0,48,1,8,1,1,1,1,1
28014,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28014,Greater Accra,311,4.3000002,0,0,0,1,30,1,0,0,0,10,15,0,0,100,1,1,2.7080503,0,0,1,4,1,3,3,1,,,,0,1,0,38,1,3,0,1,1,0,0
28109,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28109,Greater Accra,311,4.3000002,0,0,0,1,24,1,1,1,1,42,5,0,0,496,1,1,2.3025851,0,0,1,4,1,1,5,5,,,,0,0,1,41,1,5,1,1,2,0,2
28213,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",28213,Greater Accra,312,2.2,0,0,0,1,26,1,0,0,0,30,20,1,10,367,1,1,2.5649493,0,1,1,4,1,5,4,4,,,,0,0,1,32,1,4,1,1,4,0,2
28312,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28312,Greater Accra,312,1.1,0,0,0,1,30,1,0,0,0,8,10,0,0,110,1,1,2.3025851,0,0,1,4,1,4,4,2,,,,0,0,1,61,1,5,1,1,1,0,0
28315,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",28315,Greater Accra,312,.80000001,0,0,1,0,26,1,1,0,0,5,10,0,0,65,1,1,2.7725887,0,0,1,4,2,4,5,3,,,,1,0,0,51,1,3,1,1,1,1,2
28611,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28611,Greater Accra,312,.80000001,0,0,0,1,25,1,1,0,0,50,70,0,0,600,1,1,2.9444389,0,1,1,4,1,2,1,2,,,,0,0,1,51,1,5,1,1,1,0,1
28715,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28715,Greater Accra,313,.80000001,0,0,0,1,32,1,0,0,0,10,20,1,5,700,1,1,2.4849067,0,0,1,4,1,5,5,1,,,,0,0,1,51,1,6,0,0,1,0,2
28805,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28805,Greater Accra,313,4.3000002,0,0,0,1,31,1,1,1,1,10,5,1,2,185,1,1,2.8903718,0,1,1,4,2,2,2,3,,,,0,0,1,32,0,3,1,1,1,0,1
28907,"Food insecurity[i.e., lack of consistent access to enough food going forward]",28907,Greater Accra,313,1.1,0,0,0,1,22,1,0,1,1,2,5,0,0,31,1,1,2.8903718,0,1,1,4,2,2,1,1,,,,0,0,1,47,0,6,0,1,2,0,2
28915,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",28915,Greater Accra,313,1.1,0,0,0,1,32,1,1,1,0,10,10,0,0,155,1,1,2.3025851,0,1,1,4,1,3,4,3,,,,0,1,1,65,0,5,1,1,1,1,0
29104,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29104,Greater Accra,314,2.2,0,1,0,1,24,1,0,1,1,2,2,0,0,140,1,1,2.4849067,0,0,1,4,1,3,2,2,,,,0,0,1,39,1,5,1,1,1,0,2
29114,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",29114,Greater Accra,314,0,0,0,0,1,30,1,1,0,0,10,5,0,0,300,1,1,2.7725887,0,0,1,3,1,3,3,2,,,,0,1,1,43,1,7,1,1,1,0,0
29501,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29501,Greater Accra,302,2.2,0,0,1,0,25,1,1,1,1,8,4,0,0,230,1,1,3.0445225,0,1,1,4,2,2,2,2,,,,1,0,1,35,0,4,1,1,2,1,1
29512,,29512,Greater Accra,302,.80000001,0,0,0,1,32,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,0,0,,,2
29514,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",29514,Greater Accra,302,.30000001,0,0,0,1,30,1,0,0,0,20,10,0,0,300,1,1,2.5649493,0,0,1,4,1,4,3,3,,,,0,1,1,40,1,6,0,0,2,0,1
29605,"Safety[i.e., being attacked by others(e.g. criminals, thieves, robbers, etc) due to COVID19 hardship]",29605,Greater Accra,302,11.7,0,0,0,1,26,1,1,1,1,28,30,0,0,934,1,1,3.3672957,0,1,1,4,4,3,3,3,,,,0,0,1,48,1,7,1,1,2,0,2
29608,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29608,Greater Accra,302,4.3000002,0,0,0,1,28,1,1,1,1,20,10,0,0,830,1,1,2.3978953,0,1,1,4,1,3,3,2,,,,0,0,1,55,1,11,1,1,2,0,0
29705,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29705,Greater Accra,305,2.2,0,0,0,1,30,1,0,0,0,15,10,1,2,1715,1,1,2.3025851,0,1,1,4,1,4,4,3,,,,0,0,1,54,1,6,0,0,2,0,1
29714,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29714,Greater Accra,305,4.3000002,0,1,0,1,29,1,1,1,1,10,10,0,0,250,1,1,3.1354942,0,0,1,3,2,3,3,1,,,,0,0,1,60,0,4,1,1,1,0,2
29803,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29803,Greater Accra,309,29,0,0,0,1,22,1,1,1,1,30,30,5,10,1000,1,1,2.8903718,0,1,1,4,2,1,3,3,,,,0,0,1,40,1,8,1,0,1,0,2
29907,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",29907,Greater Accra,310,2.2,0,0,1,0,24,1,1,1,1,18,5,0,0,120,1,1,3.4011974,1,1,1,4,3,3,1,1,,,,1,0,0,45,1,6,1,1,1,1,0
30010,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",30010,Greater Accra,313,1.1,0,0,0,1,32,1,1,0,0,40,10,3,25,310,1,1,2.3025851,0,0,1,4,1,4,5,4,,,,0,1,1,52,1,7,0,0,5,0,0
30013,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",30013,Greater Accra,313,.80000001,0,0,0,0,25,1,0,0,0,25,10,0,8,165,1,1,2.3025851,0,1,1,4,1,5,4,4,,,,0,1,1,29,1,4,0,1,5,0,1
30106,"Food insecurity[i.e., lack of consistent access to enough food going forward]",30106,Greater Accra,315,11.7,0,0,0,1,25,1,1,1,1,20,5,0,8,35,1,2,2.7080503,0,0,1,4,1,3,2,2,,,,0,0,1,45,1,6,1,1,1,0,2
30107,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30107,Greater Accra,315,.30000001,0,0,0,1,27,1,1,0,0,0,0,0,0,0,1,1,3.4339871,1,1,1,4,1,4,2,1,,,,0,0,1,45,0,4,1,1,1,0,1
30115,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30115,Greater Accra,315,7.1999998,0,0,0,1,21,1,1,1,0,15,10,0,0,150,1,1,2.3025851,0,0,1,4,1,3,2,2,,,,0,0,1,45,1,4,0,1,1,0,0
30204,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30204,Greater Accra,316,11.7,0,1,0,1,19,1,0,0,0,6,5,0,0,70,1,1,2.3025851,0,0,1,4,1,3,3,1,,,,0,0,1,38,1,5,1,1,1,0,1
30211,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30211,Greater Accra,316,29,1,0,1,0,22,1,1,1,1,5,2,0,5,500,2,1,3.1780539,0,1,1,4,2,3,3,1,,,,1,0,1,31,0,8,1,1,1,1,0
30306,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",30306,Volta,401,4.3000002,0,0,0,1,42,1,0,0,0,25,10,1,5,75,1,1,2.3025851,0,0,1,4,1,4,5,3,,,,0,0,1,48,1,5,0,0,3,0,0
30313,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30313,Volta,401,11.7,0,0,0,1,21,0,0,1,1,28,10,0,0,740,1,1,2.5649493,0,1,1,3,1,3,2,2,,,,0,0,1,55,1,6,0,0,1,0,0
30403,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30403,Volta,402,29,0,0,0,1,19,1,1,1,1,5,2,0,0,37,1,1,2.4849067,0,0,1,4,1,3,2,1,,,,1,0,0,39,1,6,0,0,1,1,1
30502,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",30502,Volta,402,19.6,0,0,1,0,28,0,1,1,0,5,2,0,0,48,1,1,2.6390574,0,0,1,4,1,3,2,2,,,,1,0,0,63,0,2,0,0,1,0,0
30509,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30509,Volta,402,19.6,0,0,0,1,30,0,0,1,0,10,5,0,0,180,1,1,2.3025851,0,0,1,4,1,4,3,2,,,,0,0,1,61,1,5,1,1,1,0,1
30606,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30606,Volta,402,19.6,0,0,1,1,18,0,1,0,0,42,5,0,0,380,1,1,2.7080503,0,0,1,3,1,3,2,2,,,,1,0,1,46,0,10,1,0,1,1,2
30614,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30614,Volta,402,11.7,0,0,0,1,22,1,0,1,0,15,10,0,0,115,1,1,2.5649493,0,0,1,4,1,3,3,2,,,,0,0,1,65,1,12,0,0,1,0,2
30710,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",30710,Volta,403,19.6,0,0,1,1,18,1,1,0,0,5,5,0,0,88,1,1,2.3025851,0,0,1,4,1,3,4,2,,,,1,0,1,35,1,6,1,1,1,1,0
30714,"Food insecurity[i.e., lack of consistent access to enough food going forward]",30714,Volta,403,1.1,0,0,0,1,20,0,0,1,1,0,0,0,0,0,1,1,3.4339871,1,1,1,2,2,3,1,1,,,,0,0,1,45,0,5,1,1,1,0,0
